,Unnamed: 0,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,City_Tier,Discount%,Delivery Fee%,Brand,Sale,Covid
1535,1535,OD123020842697769000,G6M2R12,10-04-2021 00:00,Uttar Pradesh,Unnao,Mobiles & Accessories,Mobile Accessories,3.5,1,179,170,12%,Tier 3,6,0,B,Yes,2nd Wave
1536,1536,OD119981208230918000,G6M2R13,17-10-2020 00:00,Madhya Pradesh,Budni,Wearable Smart Devices,Smart Watches,4.1,1,2999,2999,18%,Tier 3,0,0,Realme,Yes,1st Wave
1537,1537,OD120145260236117000,G6M2R13,11-05-2020 00:00,Madhya Pradesh,Budni,Clothing and Accessories,Topwear,3.8,1,599,569,5%,Tier 3,6,0,Highlander,No,1st Wave
1538,1538,OD120996672248877000,G6M2R13,02-12-2020 00:00,Uttar Pradesh,Kanpur,Mobiles & Accessories,Mobiles,4.3,1,19999,19999,18%,Tier_2,0,0,Realme,No,No
1539,1539,OD119262339327368000,G6M2R14,26-07-2020 00:00,Uttar Pradesh,Banda,Clothing and Accessories,Topwear,3.7,1,379,379,5%,Tier 3,0,0,Istyle,No,1st Wave
1540,1540,OD119262355864985000,G6M2R14,26-07-2020 00:00,Uttar Pradesh,Banda,Clothing and Accessories,Topwear,4.2,1,399,399,5%,Tier 3,0,0,5,No,1st Wave
1541,1541,OD119650749952661000,G6M2R14,09-09-2020 00:00,Uttar Pradesh,Banda,Home Furnishing,Bed Linen & Blankets,3.6,1,258,258,5%,Tier 3,0,0,Tanish,No,1st Wave
1542,1542,OD119736229941080000,G6M2R14,19-09-2020 00:00,Uttar Pradesh,Banda,Mobiles & Accessories,Mobiles,4.2,1,10498,9448,18%,Tier 3,11,0,Samsung,Yes,1st Wave
1543,1543,OD119795974522886000,G6M2R14,26-09-2020 00:00,Uttar Pradesh,Banda,Beauty and Grooming,Bath & Shower,4.6,1,211,211,18%,Tier 3,19,19,Fiama,No,1st Wave
1544,1544,OD119922484361512000,G6M2R14,10-11-2020 00:00,Uttar Pradesh,Banda,Home Decor,Stickers & Wallpapers,4.2,1,84,84,18%,Tier 3,48,48,Aquire,Yes,No
1545,1545,OD119922969507313000,G6M2R14,10-11-2020 00:00,Uttar Pradesh,Banda,Footwear,Women's Footwear,4.4,1,1198,1198,18%,Tier 3,0,0,Nike,Yes,No
1546,1546,OD119925331398611000,G6M2R14,10-11-2020 00:00,Uttar Pradesh,Banda,Clothing and Accessories,Topwear,4.1,1,287,287,5%,Tier 3,14,14,Harpa,Yes,No
1547,1547,OD119933943158019000,G6M2R14,10-12-2020 00:00,Uttar Pradesh,Banda,Clothing and Accessories,Bottomwear,4.3,1,363,363,5%,Tier 3,12,12,People,No,No
1548,1548,OD119944315150760000,G6M2R14,13-10-2020 00:00,Uttar Pradesh,Banda,Computers,Laptop Accessories,4.1,1,176,176,18%,Tier 3,23,23,Zebronics,No,1st Wave
1549,1549,OD119960434709562000,G6M2R14,15-10-2020 00:00,Uttar Pradesh,Banda,Audio & Video,Headphones,3.9,1,799,799,18%,Tier 3,0,0,boAt,No,1st Wave
1550,1550,OD119963043111204000,G6M2R14,15-10-2020 00:00,Uttar Pradesh,Banda,Clothing and Accessories,Winter Wear,3.5,1,114,108,5%,Tier 3,41,36,Only,No,1st Wave
1551,1551,OD119963073293066000,G6M2R14,15-10-2020 00:00,Uttar Pradesh,Banda,Clothing and Accessories,Winter Wear,4.2,1,245,208,5%,Tier 3,32,17,Provogue,No,1st Wave
1552,1552,OD120015456153809000,G6M2R14,21-10-2020 00:00,Uttar Pradesh,Banda,Home Decor,"Diyas, Candles & Holders",3.9,1,219,219,12%,Tier 3,19,19,Flipkart,Yes,1st Wave
1553,1553,OD120040861480548000,G6M2R14,24-10-2020 00:00,Uttar Pradesh,Banda,Clothing and Accessories,Bottomwear,3.5,1,449,449,5%,Tier 3,0,0,VS3,No,1st Wave
1554,1554,OD120282484462579000,G6M2R14,21-11-2020 00:00,Uttar Pradesh,Banda,Clothing and Accessories,Bottomwear,3.1,1,799,799,5%,Tier 3,0,0,VS3,No,No
1555,1555,OD120307819706181000,G6M2R14,24-11-2020 00:00,Uttar Pradesh,Banda,Footwear,Women's Footwear,3.9,1,384,384,5%,Tier 3,0,0,Elegandra,No,No
1556,1556,OD120325270839000000,G6M2R14,26-11-2020 00:00,Uttar Pradesh,Banda,Footwear,Men's Footwear,4.2,1,999,999,5%,Tier 3,0,0,Bata,No,No
1557,1557,OD120325290768610000,G6M2R14,26-11-2020 00:00,Uttar Pradesh,Banda,Footwear,Men's Footwear,4,1,499,499,5%,Tier 3,0,0,Zixer,No,No
